,Public Vehicle Number,Status,Vehicle Make,Vehicle Model,Vehicle Model Year,Vehicle Color,Vehicle Fuel Source,Wheelchair Accessible,Company Name,Address,City,State,ZIP Code,Taxi Affiliation,Taxi Medallion License Management ,Record ID
61,77,VIOLATION,MAINSTREET,CLASSIC,0.0,RED/BLACK,Pedal,N,EMPIRE PEDICAB LLC,318 W. ADAMS ST.,CHICAGO,IL,60606.0,,,77Pedicab
103,131,ACTIVE,MANMADE,WAGON,2011.0,BLACK,Pedal,N,TROTTERS LLC,4955 N. MANGO AVE.,CHICAGO,IL,60630.0,,,131Pedicab
168,186,ACTIVE,MANMADE,BROADWAY,2014.0,BLACK,Pedal,N,MBL PEDICAB LLC,8708 W. BERWYN AVE.,CHICAGO,IL,60656.0,,,186Pedicab
227,69,VIOLATION,MAINSTREET,CLASSIC,0.0,RED/BLACK,Pedal,N,EMPIRE PEDICAB LLC,318 W. ADAMS ST.,CHICAGO,IL,60606.0,,,69Pedicab
261,142,ACTIVE,VIP,VIP,2018.0,BLUE/WHITE,Pedal,N,PEDICAB RIDE GUYS LLC,1919 S. MICHIGAN AVE. AVE.,CHICAGO,IL,60616.0,,,142Pedicab
304,47,ACTIVE,MAINSTREET,BROADWAY,2010.0,WHITE,Pedal,N,"WINDY CITY PEDICAB, LTD.",1901 S. WESTERN AVE.,CHICAGO,IL,60608.0,,,47Pedicab
380,100,ACTIVE,VIP,VIP,2023.0,BLUE,Pedal,N,CHICAGO PEDICAB LLC,1015 N. HALSTED ST.,CHICAGO,IL,60642.0,,,100Pedicab
442,52,ACTIVE,SCHWINN,NONE,2014.0,GREEN,Pedal,N,BM PEDICAB INC.,4450 N. KEDZIE AVE.,CHICAGO,IL,60625.0,,,52Pedicab
447,152,ACTIVE,VIP,CLASSIC,2014.0,GREEN,Pedal,N,PEDICAB RIDE GUYS LLC,1919 S. MICHIGAN AVE. AVE.,CHICAGO,IL,60616.0,,,152Pedicab
473,90,ACTIVE,VIP,VIP,2014.0,BLUE/WHITE,Pedal,N,PEDICAB RIDE GUYS LLC,1919 S. MICHIGAN AVE. AVE.,CHICAGO,IL,60616.0,,,90Pedicab
577,83,VIOLATION,VIP,5 SEATER,2014.0,RED,Pedal,N,EASY RIDER PEDICAB LLC,2884 S. ARCHER AVE.,CHICAGO,IL,60608.0,,,83Pedicab
662,15,VIOLATION,MAINSTREET,BOARDWALK,2017.0,BLUE,Pedal,N,SANTIAGO ANTONIO BLANDON,1205 W. JACKSON BLVD.,CHICAGO,IL,60607.0,,,15Pedicab
840,91,ACTIVE,MANMADE,NONE,2015.0,GREEN,Pedal,N,MLADEN S. MAKSIMOVIC,2630 W. BERWYN AVE.,CHICAGO,IL,60625.0,,,91Pedicab
882,136,ACTIVE,MAINSTREET,BROADWAY,2016.0,BLUE,Pedal,N,MBL PEDICAB LLC,8708 W. BERWYN AVE.,CHICAGO,IL,60656.0,,,136Pedicab
897,130,ACTIVE,PRECISION,,2019.0,BLACK,Pedal,N,JELLY ROLL PEDICAB LLC,3966 S. LANGLEY AVE.,CHICAGO,IL,60653.0,,,130Pedicab
982,156,ACTIVE,PRECISION,6 SEATER,2018.0,AQUA,Pedal,N,SECOND CITY TUK TUKS LLC,61 W. 15TH ST.,CHICAGO,IL,60605.0,,,156Pedicab
1140,157,ACTIVE,MAINSTREET,CLASSIC,2010.0,BLACK,Pedal,N,TIMOTHY W. JONES,1618 N. HUMBOLDT BLVD.,CHICAGO,IL,60647.0,,,157Pedicab
1205,172,ACTIVE,MANMADE,CLASSIC,2018.0,BLACK,Pedal,N,CHICAGO GREEN BIKE LLC,1919 S. MICHIGAN AVE.,CHICAGO,IL,60616.0,,,172Pedicab
1323,2,ACTIVE,VIP,VIP,2019.0,BLUE,Pedal,N,BIKE TAXI LLC,4235 N. KEDZIE AVE.,CHICAGO,IL,60618.0,,,2Pedicab
1346,57,VIOLATION,MAINSTREET,BOARDWALK,2011.0,RED,Pedal,N,CARGILL C KELLY II,2428 W. 24TH PL.,CHICAGO,IL,60608.0,,,57Pedicab
1451,195,ACTIVE,ANDERSON,WAGON,2012.0,BLACK,Pedal,N,DRAZEN FRANJKOVIC,4449 N. CENTRAL PARK AVE.,CHICAGO,IL,60625.0,,,195Pedicab
1557,87,VIOLATION,MANMADE,GOLDEN GATE,2016.0,ORANGE,Pedal,N,EASY RIDER PEDICAB LLC,2884 S. ARCHER AVE.,CHICAGO,IL,60608.0,,,87Pedicab
1697,29,ACTIVE,PRECISION,6 SEATER,2016.0,RED,Pedal,N,PHILIP ANDREW SADLER,2001 N. ELSTON AVE.,CHICAGO,IL,60614.0,,,29Pedicab
1757,54,VIOLATION,CUSTOM,CSM STYLE,2018.0,BLACK,Pedal,N,EASY RIDER PEDICAB LLC,2884 S. ARCHER AVE.,CHICAGO,IL,60608.0,,,54Pedicab
1804,112,VIOLATION,PRECISION,NONE,2017.0,BLACK,Pedal,N,EASY RIDER PEDICAB LLC,2884 S. ARCHER AVE.,CHICAGO,IL,60608.0,,,112Pedicab
1961,84,VIOLATION,VIP,5 SEATER,2020.0,BLUE,Pedal,N,EASY RIDER PEDICAB LLC,2884 S. ARCHER AVE.,CHICAGO,IL,60608.0,,,84Pedicab
1977,129,ACTIVE,MAINSTREET,BROADWAY,2008.0,BLACK,Pedal,N,"AUSTIN PEDICAB COMPANY, LLC",1015 N. HALSTED ST.,CHICAGO,IL,60642.0,,,129Pedicab
2126,76,VIOLATION,MAINSTREET,CLASSIC,0.0,RED/BLACK,Pedal,N,EMPIRE PEDICAB LLC,318 W. ADAMS ST.,CHICAGO,IL,60606.0,,,76Pedicab
2136,135,ACTIVE,MAINSTREET,BROADWAY,2016.0,BLUE,Pedal,N,MBL PEDICAB LLC,8708 W. BERWYN AVE.,CHICAGO,IL,60656.0,,,135Pedicab
2187,165,ACTIVE,MANMADE,CLASSIC,2018.0,BLACK,Pedal,N,CHICAGO GREEN BIKE LLC,1919 S. MICHIGAN AVE.,CHICAGO,IL,60616.0,,,165Pedicab
2257,26,ACTIVE,MANMADE,NONE,2017.0,BLACK,Pedal,N,MBL PEDICAB LLC,8708 W. BERWYN AVE.,CHICAGO,IL,60656.0,,,26Pedicab
2258,132,ACTIVE,MANMADE,NONE,2015.0,RED,Pedal,N,MBL PEDICAB LLC,8708 W. BERWYN AVE.,CHICAGO,IL,60656.0,,,132Pedicab
2371,200,VIOLATION,CUSTOM,CSM STYLE,2018.0,BLACK,Pedal,N,EASY RIDER PEDICAB LLC,2884 S. ARCHER AVE.,CHICAGO,IL,60608.0,,,200Pedicab
2696,20,ACTIVE,VIP,VIP,2014.0,BLUE/WHITE,Pedal,N,PEDICAB RIDE GUYS LLC,1919 S. MICHIGAN AVE. AVE.,CHICAGO,IL,60616.0,,,20Pedicab
2973,14,VIOLATION,CUSTOM,CSM STYLE,2018.0,BLACK,Pedal,N,EASY RIDER PEDICAB LLC,2884 S. ARCHER AVE.,CHICAGO,IL,60608.0,,,14Pedicab
3008,143,ACTIVE,VIP,NONE,2018.0,BLUE/WHITE,Pedal,N,BIKE TAXI LLC,4235 N. KEDZIE AVE.,CHICAGO,IL,60618.0,,,143Pedicab
3041,93,VIOLATION,VIP,VIP,2013.0,GREEN,Pedal,N,"WATERMELONS, LLC",5420 N. KENMORE AVE.,CHICAGO,IL,60640.0,,,93Pedicab
3092,80,VIOLATION,MAINSTREET,CLASSIC,0.0,RED/BLACK,Pedal,N,EMPIRE PEDICAB LLC,318 W. ADAMS ST.,CHICAGO,IL,60606.0,,,80Pedicab
3297,110,VIOLATION,VIP,LIMO,2023.0,WHITE,Pedal,N,SARAH B YOPP,1426 N. KEELER AVE.,CHICAGO,IL,60651.0,,,110Pedicab
3303,23,INACTIVE,MAINSTREET,BROADWAY,2011.0,WHITE/BLACK,Pedal,N,CITY OF CHICAGO BACP,,,,,,,23Pedicab
3375,178,ACTIVE,VIP,VIP,2018.0,BLUE,Pedal,N,PEDICAB RIDE GUYS LLC,1919 S. MICHIGAN AVE. AVE.,CHICAGO,IL,60616.0,,,178Pedicab
3388,175,ACTIVE,VIP,VIP,2018.0,BLUE,Pedal,N,PEDICAB RIDE GUYS LLC,1919 S. MICHIGAN AVE. AVE.,CHICAGO,IL,60616.0,,,175Pedicab
3439,36,ACTIVE,VIP,VIP,2014.0,BLUE/WHITE,Pedal,N,PEDICAB RIDE GUYS LLC,1919 S. MICHIGAN AVE. AVE.,CHICAGO,IL,60616.0,,,36Pedicab
3508,0,INACTIVE,VIP,VIP,2019.0,BLUE,Pedal,N,BIKE TAXI LLC,4235 N. KEDZIE AVE.,CHICAGO,IL,60618.0,,,0Pedicab
3759,192,ACTIVE,MANMADE,BROADWAY,2014.0,BLACK,Pedal,N,MBL PEDICAB LLC,8708 W. BERWYN AVE.,CHICAGO,IL,60656.0,,,192Pedicab
3897,55,VIOLATION,CUSTOM,CSM STYLE,2018.0,BLACK,Pedal,N,EASY RIDER PEDICAB LLC,2884 S. ARCHER AVE.,CHICAGO,IL,60608.0,,,55Pedicab
4027,109,VIOLATION,CUSTOM,CSM STYLE,2018.0,BLACK,Pedal,N,EASY RIDER PEDICAB LLC,2884 S. ARCHER AVE.,CHICAGO,IL,60608.0,,,109Pedicab
4197,41,ACTIVE,VIP,VIP,2011.0,BLACK,Pedal,N,JBL PEDICAB MANAGEMENT LLC,1627 N. TRIPP AVE.,CHICAGO,IL,60639.0,,,41Pedicab
4314,159,ACTIVE,MAINSTREET,BROADWAY,2005.0,WHITE,Pedal,N,"AUSTIN PEDICAB COMPANY, LLC",1015 N. HALSTED ST.,CHICAGO,IL,60642.0,,,159Pedicab
4358,60,VIOLATION,VIP,5 SEATER,2017.0,PINK/WHITE,Pedal,N,EASY RIDER PEDICAB LLC,2884 S. ARCHER AVE.,CHICAGO,IL,60608.0,,,60Pedicab
4473,161,ACTIVE,VIP,NONE,2018.0,BLUE,Pedal,N,BIKE TAXI LLC,4235 N. KEDZIE AVE.,CHICAGO,IL,60618.0,,,161Pedicab
4481,64,VIOLATION,MAINSTREET,CLASSIC,0.0,RED/BLACK,Pedal,N,EMPIRE PEDICAB LLC,318 W. ADAMS ST.,CHICAGO,IL,60606.0,,,64Pedicab
4494,63,SURRENDER,PRECISION,PRECISION,0.0,BLACK,Pedal,N,EMPIRE PEDICAB LLC,318 W. ADAMS ST.,CHICAGO,IL,60606.0,,,63Pedicab
4563,196,INACTIVE,VIP,NONE,2009.0,BLUE/RED,Pedal,N,CITY OF CHICAGO BACP,,,,,,,196Pedicab
4576,53,ACTIVE,MANMADE,NONE,2013.0,GREEN,Pedal,N,MBL PEDICAB LLC,8708 W. BERWYN AVE.,CHICAGO,IL,60656.0,,,53Pedicab
4699,145,ACTIVE,MANMADE,NONE,2007.0,BLUE,Pedal,N,MARKO MARKOVIC,1329 N. BURLING ST.,CHICAGO,IL,60610.0,,,145Pedicab
4803,187,ACTIVE,MANMADE,BROADWAY,2014.0,BLACK,Pedal,N,MBL PEDICAB LLC,8708 W. BERWYN AVE.,CHICAGO,IL,60656.0,,,187Pedicab
4839,98,VIOLATION,CUSTOM,CSM STYLE,2018.0,BLACK,Pedal,N,EASY RIDER PEDICAB LLC,2884 S. ARCHER AVE.,CHICAGO,IL,60608.0,,,98Pedicab
4895,46,ACTIVE,MAINSTREET,BROADWAY,2013.0,BLUE/BLACK,Pedal,N,MBL PEDICAB LLC,8708 W. BERWYN AVE.,CHICAGO,IL,60656.0,,,46Pedicab
4911,49,VIOLATION,MAINSTREET,BOARDWALK,2014.0,GREEN,Pedal,N,GOGO&SON PEDICAB TOURS CORP,2605 S. INDIANA AVE.,CHICAGO,IL,60616.0,,,49Pedicab
4947,82,VIOLATION,MAINSTREET,CLASSIC,0.0,RED/BLACK,Pedal,N,EMPIRE PEDICAB LLC,318 W. ADAMS ST.,CHICAGO,IL,60606.0,,,82Pedicab
5326,43,ACTIVE,MANMADE,NONE,2017.0,RED/BLACK,Pedal,N,MBL PEDICAB LLC,8708 W. BERWYN AVE.,CHICAGO,IL,60656.0,,,43Pedicab
5515,174,ACTIVE,MANMADE,CLASSIC,2018.0,BLACK,Pedal,N,CHICAGO GREEN BIKE LLC,1919 S. MICHIGAN AVE.,CHICAGO,IL,60616.0,,,174Pedicab
5589,56,VIOLATION,CUSTOM,CSM STYLE,2018.0,BLACK,Pedal,N,EASY RIDER PEDICAB LLC,2884 S. ARCHER AVE.,CHICAGO,IL,60608.0,,,56Pedicab
5665,61,VIOLATION,CUSTOM,CSM STYLE,2012.0,BLACK,Pedal,N,EASY RIDER PEDICAB LLC,2884 S. ARCHER AVE.,CHICAGO,IL,60608.0,,,61Pedicab
5727,141,ACTIVE,VIP,VIP,2018.0,BLUE/WHITE,Pedal,N,PEDICAB RIDE GUYS LLC,1919 S. MICHIGAN AVE. AVE.,CHICAGO,IL,60616.0,,,141Pedicab
5807,53,ACTIVE,MANMADE,NONE,2013.0,GREEN,Pedal,N,MBL PEDICAB LLC,8708 W. BERWYN AVE.,CHICAGO,IL,60656.0,,,53Pedicab
5842,182,ACTIVE,MANMADE,BROADWAY,2014.0,BLACK,Pedal,N,MBL PEDICAB LLC,8708 W. BERWYN AVE.,CHICAGO,IL,60656.0,,,182Pedicab
6010,10,ACTIVE,MAINSTREET,BACK TO BACK,2022.0,SILVER,Pedal,N,SECOND CITY TUK TUKS LLC,61 W. 15TH ST.,CHICAGO,IL,60605.0,,,10Pedicab
6128,188,ACTIVE,MANMADE,BROADWAY,2014.0,BLACK,Pedal,N,MBL PEDICAB LLC,8708 W. BERWYN AVE.,CHICAGO,IL,60656.0,,,188Pedicab
6145,55,VIOLATION,CUSTOM,CSM STYLE,2018.0,BLACK,Pedal,N,EASY RIDER PEDICAB LLC,2884 S. ARCHER AVE.,CHICAGO,IL,60608.0,,,55Pedicab
6163,27,VIOLATION,MAINSTREET,BROADWAY,2013.0,RED,Pedal,N,ZORAYDA ORTIZ,2447 W. 24TH ST.,CHICAGO,IL,60608.0,,,27Pedicab
6238,89,ACTIVE,VIP,VIP,2014.0,BLUE/WHITE,Pedal,N,PEDICAB RIDE GUYS LLC,1919 S. MICHIGAN AVE. AVE.,CHICAGO,IL,60616.0,,,89Pedicab
6320,140,ACTIVE,MAINSTREET,LIMO,2020.0,BLUE,Pedal,N,SECOND CITY TUK TUKS LLC,61 W. 15TH ST.,CHICAGO,IL,60605.0,,,140Pedicab
6354,168,ACTIVE,VIP,VIP,2018.0,BLUE,Pedal,N,PEDICAB RIDE GUYS LLC,1919 S. MICHIGAN AVE. AVE.,CHICAGO,IL,60616.0,,,168Pedicab
6370,59,VIOLATION,MAINSTREET,LIMO,2018.0,BLACK,Pedal,N,EASY RIDER PEDICAB LLC,2884 S. ARCHER AVE.,CHICAGO,IL,60608.0,,,59Pedicab
6469,5,ACTIVE,MAINSTREET,BROADWAY,0.0,BLACK,Pedal,N,RICHARD R. SAMMARTINO,1514 W. TAYLOR ST.,CHICAGO,IL,60607.0,,,5Pedicab
6685,6,ACTIVE,PRECISION,NONE,2019.0,RED,Pedal,N,SECOND CITY TUK TUKS LLC,61 W. 15TH ST.,CHICAGO,IL,60605.0,,,6Pedicab
6825,48,VIOLATION,VIP,VIP,2017.0,RED,Pedal,N,BRIAN JAMES ANDROWSKI,3966 S. LANGLEY AVE.,CHICAGO,IL,60653.0,,,48Pedicab
6860,162,ACTIVE,VIP,NONE,2018.0,BLUE,Pedal,N,BIKE TAXI LLC,4235 N. KEDZIE AVE.,CHICAGO,IL,60618.0,,,162Pedicab
6989,181,ACTIVE,MANMADE,NONE,2014.0,BLACK,Pedal,N,PETAR JANIC,5306 N. CUMBERLAND AVE.,CHICAGO,IL,60656.0,,,181Pedicab
7063,94,ACTIVE,MANMADE,NONE,2017.0,RED/BLACK,Pedal,N,MBL PEDICAB LLC,8708 W. BERWYN AVE.,CHICAGO,IL,60656.0,,,94Pedicab
7082,193,ACTIVE,MAINSTREET,BOARDWALK,2013.0,PURPLE,Pedal,N,BIKE AND THE CITY LLC,953 N. CALIFORNIA AVE.,CHICAGO,IL,60622.0,,,193Pedicab
7113,11,ACTIVE,MAINSTREET,SMASHCAB,2020.0,WHITE,Pedal,N,SECOND CITY TUK TUKS LLC,61 W. 15TH ST.,CHICAGO,IL,60605.0,,,11Pedicab
7132,78,VIOLATION,MAINSTREET,CLASSIC,0.0,RED/BLACK,Pedal,N,EMPIRE PEDICAB LLC,318 W. ADAMS ST.,CHICAGO,IL,60606.0,,,78Pedicab
7237,97,VIOLATION,COASTER,5 SEATER,2011.0,BLUE,Pedal,N,EASY RIDER PEDICAB LLC,2884 S. ARCHER AVE.,CHICAGO,IL,60608.0,,,97Pedicab
7333,67,VIOLATION,MAINSTREET,CLASSIC,0.0,RED/BLACK,Pedal,N,EMPIRE PEDICAB LLC,318 W. ADAMS ST.,CHICAGO,IL,60606.0,,,67Pedicab
7361,3,ACTIVE,VIP,VIP,2010.0,BLUE,Pedal,N,JELLY ROLL PEDICAB LLC,3966 S. LANGLEY AVE.,CHICAGO,IL,60653.0,,,3Pedicab
7378,146,ACTIVE,MANMADE,CLASSIC,2018.0,BLUE,Pedal,N,CHICAGO GREEN BIKE LLC,1919 S. MICHIGAN AVE.,CHICAGO,IL,60616.0,,,146Pedicab
7379,190,ACTIVE,MANMADE,BROADWAY,2014.0,BLACK,Pedal,N,MBL PEDICAB LLC,8708 W. BERWYN AVE.,CHICAGO,IL,60656.0,,,190Pedicab
7382,149,ACTIVE,VIP,CLASSIC,2014.0,GREEN,Pedal,N,PEDICAB RIDE GUYS LLC,1919 S. MICHIGAN AVE. AVE.,CHICAGO,IL,60616.0,,,149Pedicab
7414,34,VIOLATION,CUSTOM,CSM STYLE,2018.0,BLACK,Pedal,N,EASY RIDER PEDICAB LLC,2884 S. ARCHER AVE.,CHICAGO,IL,60608.0,,,34Pedicab
7454,74,VIOLATION,MAINSTREET,CLASSIC,0.0,RED/BLACK,Pedal,N,EMPIRE PEDICAB LLC,318 W. ADAMS ST.,CHICAGO,IL,60606.0,,,74Pedicab
7527,50,ACTIVE,MANMADE,NONE,2003.0,RED,Pedal,N,EPOCH CONSULTING INC,6944 N. WILDWOOD AVE.,CHICAGO,IL,60646.0,,,50Pedicab
7543,38,ACTIVE,VIP,FACE TO FACE,2016.0,BLACK,Pedal,N,JBL PEDICAB MANAGEMENT LLC,1627 N. TRIPP AVE.,CHICAGO,IL,60639.0,,,38Pedicab
8142,137,ACTIVE,MAINSTREET,BROADWAY,2016.0,BLUE,Pedal,N,MBL PEDICAB LLC,8708 W. BERWYN AVE.,CHICAGO,IL,60656.0,,,137Pedicab
8167,139,ACTIVE,MAINSTREET,BROADWAY,2018.0,PURPLE,Pedal,N,COREY A CALLAHAN,1627 N. TRIPP AVE.,CHICAGO,IL,60639.0,,,139Pedicab
8177,22,ACTIVE,VIP,VIP,2020.0,WHITE,Pedal,N,SUPER DAD PEDICAB LLC,1841 N. CALIFORNIA AVE.,CHICAGO,IL,60647.0,,,22Pedicab
8182,145,ACTIVE,MANMADE,NONE,2007.0,BLUE,Pedal,N,MARKO MARKOVIC,1329 N. BURLING ST.,CHICAGO,IL,60610.0,,,145Pedicab
8244,127,ACTIVE,MAINSTREET,BROADWAY,2005.0,BLACK,Pedal,N,"AUSTIN PEDICAB COMPANY, LLC",1015 N. HALSTED ST.,CHICAGO,IL,60642.0,,,127Pedicab
8276,96,ACTIVE,VIP,VIP,2021.0,WHITE,Pedal,N,CHICAGO PEDICAB LLC,1015 N. HALSTED ST.,CHICAGO,IL,60642.0,,,96Pedicab
8312,198,ACTIVE,MANMADE,WAGON,2016.0,BLACK,Pedal,N,MBL PEDICAB LLC,8708 W. BERWYN AVE.,CHICAGO,IL,60656.0,,,198Pedicab
8332,73,VIOLATION,MAINSTREET,CLASSIC,0.0,RED/BLACK,Pedal,N,EMPIRE PEDICAB LLC,318 W. ADAMS ST.,CHICAGO,IL,60606.0,,,73Pedicab
8369,79,VIOLATION,MAINSTREET,CLASSIC,0.0,RED/BLACK,Pedal,N,EMPIRE PEDICAB LLC,318 W. ADAMS ST.,CHICAGO,IL,60606.0,,,79Pedicab
8464,197,ACTIVE,MANMADE,WAGON,2016.0,BLACK,Pedal,N,MBL PEDICAB LLC,8708 W. BERWYN AVE.,CHICAGO,IL,60656.0,,,197Pedicab
8513,72,VIOLATION,MAINSTREET,CLASSIC,0.0,RED/BLACK,Pedal,N,EMPIRE PEDICAB LLC,318 W. ADAMS ST.,CHICAGO,IL,60606.0,,,72Pedicab
